LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-296114,1560,40,-24.5,,-,GNQ,Nanda/Corisco,-,Pit,,0.917,9.317,,-,Oveng,-,-,,Ia,,Gonzalez Ruibal et al. 2011; Sánchez-Elipe et al. 2016: 352 Tab. 2
Beta-296115,950,30,-25.9,,-,GNQ,Nanda/Corisco,9,Burial,,0.917,9.317,,-,Nandá/Group II,slag?,-,,Ia,,Gonzalez Ruibal et al. 2011; Sánchez-Elipe et al. 2016: 353 Tab. 2
Beta-296116,1760,40,-25.6,,-,GNQ,Nanda/Corisco,-,Deposit,,0.917,9.317,,-,Oveng,slag?,-,,Ia,,Gonzalez Ruibal et al. 2011; Sánchez-Elipe et al. 2016: 352 Tab. 2
Beta-296117,1940,40,-25.3,,-,GNQ,Nanda/Corisco,-,Burial,,0.917,9.317,,-,Oveng,slag?,-,,Ia,,Gonzalez Ruibal et al. 2011; Sánchez-Elipe et al. 2016: 352 Tab. 2
Beta-300121,880,30,,AMS,-,CMR,Dibamba,F. 32 (30-60 cm),Pit,0.45,3.996,9.822,,-,Dibamba C,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-300122,990,30,,AMS,-,CMR,Dibamba,F. 32 (60-90 cm),Pit,0.75,3.996,9.822,,-,Dibamba C,slag?,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-300123,1810,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 73 (150-160 cm),Pit,1.55,3.996,9.822,,-,Dibamba D,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-300124,310,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 171 (50-60 cm),Pit,0.55,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302753,260,30,,AMS,-,CMR,Dibamba,F. 23 (30-60 cm),Pit,0.45,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302754,110,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 23 (60-90 cm),Pit,0.75,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302755,160,30,,AMS,-,CMR,Dibamba,F. 53 (40-80 cm),Pit,0.6,3.996,9.822,,-,indet,-,,-,Ib,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302756,240,30,,AMS,-,CMR,Dibamba,F. 53 (80-120 cm),Pit,1,3.996,9.822,,-,indet,-,-,,Ib,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302757,150,30,,AMS,-,CMR,Dibamba,F. 53 (120-160 cm),Pit,1.4,3.996,9.822,,-,indet,-,,-,Ib,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302758,110,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 184 (0-44 cm),Pit,0.22,3.996,9.822,,-,Dibamba A,slag?,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302759,1040,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 193 (40-60 cm),Pit,0.5,3.996,9.822,,-,(Dibamba B),slag?,,-,IIIa,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302760,520,30,,AMS,Charcoal_endocarp_elaeis,CMR,Dibamba,F. 193 (60-90 cm),Pit,0.75,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-302761,0,,,AMS,-,CMR,Dibamba,F. 131 (130 cm),Pit,1.3,3.996,9.822,,-,Dibamba A,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-314122,580,30,,,Charcoal_wood,COD,Luki,CZ3,Pedoanthracological trench,0.3,-5.587,13.145,,-,(indet),-,Eg,,Id,,Hubau et al. 2013; Hubau et al. 2015
